f,scl1,scl2,scl3
0,0.002088772,-1.00E-04,0.002088772
0,-0.002857389,-1.00E-04,-0.002857389
0,-0.001789848,-1.00E-04,-0.001789848
0,0.00465397,-1.00E-04,0.00465397
0,0.002599065,-1.00E-04,0.002599065
0,0.000409164,-1.00E-04,0.000409164
0,-0.001256262,-1.00E-04,-0.001256262
0,-0.002146547,-1.00E-04,-0.002146547
0,-0.003128364,-1.00E-04,-0.003128364
0,-0.00658226,-1.00E-04,-0.00658226
0,0.016799118,-1.00E-04,0.016799118
0,-0.003791063,-1.00E-04,-0.003791063
0,0.004191715,-1.00E-04,0.004191715
0,0.006108504,-1.00E-04,0.006108504
0,0.000629978,-1.00E-04,0.000629978
0,-0.001377357,-1.00E-04,-0.001377357
0,-0.00331737,-1.00E-04,-0.00331737
0,-0.004553759,-1.00E-04,-0.004553759
0,-0.006210955,-1.00E-04,-0.006210955
0,0.013574101,-1.00E-04,0.013574101
0,-0.002521431,-1.00E-04,-0.002521431
0,-0.00415723,-1.00E-04,-0.00415723
0,-0.001389276,-1.00E-04,-0.001389276
0,0.005146106,-1.00E-04,0.005146106
0,-0.000190234,-1.00E-04,-0.000190234
0,0.004537193,-1.00E-04,0.004537193
0,-0.001949492,-1.00E-04,-0.001949492
0,0.003112032,-1.00E-04,0.003112032
0,0.000346546,-1.00E-04,0.000346546
0,-0.001431411,-1.00E-04,-0.001431411
0,0.003625449,-1.00E-04,0.003625449
0,-0.009379864,-1.00E-04,-0.009379864
0,-0.004929787,-1.00E-04,-0.004929787
0,-0.005823916,-1.00E-04,-0.005823916
0,-0.001532838,-1.00E-04,-0.001532838
0,-0.006981922,-1.00E-04,-0.006981922
0,0.00271522,-1.00E-04,0.00271522
0,0.00494109,-1.00E-04,0.00494109
0,-0.002840292,-1.00E-04,-0.002840292
0,0.002611197,-1.00E-04,0.002611197
0,-0.00767164,-1.00E-04,-0.00767164
0,-0.011791284,-1.00E-04,-0.011791284
0,0.005373285,-1.00E-04,0.005373285
0,0.005133097,-1.00E-04,0.005133097
0,-0.008126425,-1.00E-04,-0.008126425
0,-0.004445408,-1.00E-04,-0.004445408
0,0.000191451,-1.00E-04,0.000191451
0,-0.001212522,-1.00E-04,-0.001212522
0,0.001736419,-1.00E-04,0.001736419
0,-0.005551213,-1.00E-04,-0.005551213
0,-0.00630059,-1.00E-04,-0.00630059
0,0.011468074,-1.00E-04,0.011468074
0,0.000409816,-1.00E-04,0.000409816
0,0.005885842,-1.00E-04,0.005885842
0,-0.005639368,-1.00E-04,-0.005639368
0,-0.00200609,-1.00E-04,-0.00200609
0,0.000997043,-1.00E-04,0.000997043
0,-0.000153399,-1.00E-04,-0.000153399
0,0.002164849,-1.00E-04,0.002164849
0,0.002149806,-1.00E-04,0.002149806
0,0.002413824,-1.00E-04,0.002413824
0,0.00908264,-1.00E-04,0.00908264
0,-0.01386536,-1.00E-04,-0.01386536
0,-0.001322722,-1.00E-04,-0.001322722
0,0.009739612,-1.00E-04,0.009739612
0,-0.004659662,-1.00E-04,-0.004659662
0,0.004313973,-1.00E-04,0.004313973
0,0.003560597,-1.00E-04,0.003560597
0,0.005937826,-1.00E-04,0.005937826
0,0.002052896,-1.00E-04,0.002052896
0,2.97E-06,-1.00E-04,2.97E-06
0,-0.004633565,-1.00E-04,-0.004633565
0,0.004248346,-1.00E-04,0.004248346
0,-0.004742954,-1.00E-04,-0.004742954
0,-0.006642111,-1.00E-04,-0.006642111
